"ITERATIONS","ELBO_VALUE"
1,NaN
2,-355775.4051418188
3,-355636.5083260645
4,-354245.7731763511
5,-354704.9149797843
6,-354101.87963424897
7,-353276.2772447736
8,-353355.6201204468
9,-353224.9171017361
10,-353294.2362698132
11,-353182.6488141732
12,-352940.03011993633
13,-352903.4650783139
14,-352879.8790996555
15,-352871.412846897
16,-352869.90635514463
17,-352867.7537307466
18,-352862.40355044714
19,-352856.6287222466
20,-352855.5439323938
21,-352853.4889001502
22,-352851.9092117073
23,-352851.884256095
24,-352851.863520915
25,-352851.8488537274
26,-352851.8390900785
27,-352851.83268778806
28,-352851.828501237
29,-352851.8257622569
30,-352851.8239682006
31,-352851.8227915343
32,-352851.82201887126
33,-352851.82151091663
34,-352851.8211767108
35,-352851.8209566296
36,-352851.82081160066
37,-352851.820716002
38,-352851.82065290166
39,-352851.8206113036
40,-352851.8205838229
41,-352851.8205656857
42,-352851.8205536989
43,-352851.82054578245
44,-352851.8205405664
45,-352851.82053710177
46,-352851.82053482597
47,-352851.82053330756
48,-352851.82053229964
49,-352851.8205316606
50,-352851.82053121977
51,-352851.8205309353
52,-352851.8205307348
53,-352851.8205305937
54,-352851.82053051575
55,-352851.82053045894
56,-352851.8205304284
57,-352851.82053041464
58,-352851.82053039497
59,-352851.820530383
60,-352851.82053037616
